code,Plan_ClusterName
2337856,NULL
2338293,NULL
2338306,NULL
2338324,NULL
2337481,NULL
2338103,NULL
2338150,NULL
2338227,NULL
2338589,NULL
2338784,NULL
2338678,NULL
2338724,NULL
2337808,NULL
2337797,NULL
2337978,NULL
2338735,NULL
2338258,NULL
2338267,NULL
2338719,NULL
2338830,NULL
2338614,NULL
2338763,NULL
2338401,NULL
2338161,NULL
2337759,NULL
2338618,NULL
2338495,NULL
2338530,NULL
2337575,NULL
2337844,NULL
2337297,NULL
2337324,NULL
2337361,NULL
2338555,NULL
2337618,NULL
2337533,NULL
2338853,NULL
2338579,NULL
2338709,NULL
2338613,NULL
2338435,NULL
2337534,NULL
2337360,NULL
2338708,NULL
2338427,NULL
2338473,NULL
2338661,NULL
2338494,NULL
2338499,NULL
2337635,NULL
2338417,NULL
2338284,NULL
2338004,NULL
2337882,NULL
2337887,NULL
2338741,NULL
2338754,NULL
2338720,NULL
2338864,NULL
2338525,NULL
2338547,NULL
2338644,NULL
2338645,NULL
2338649,NULL
2338653,NULL
2338700,NULL
2338694,NULL
2338836,NULL
2338827,NULL
2338592,NULL
2338588,NULL
2338612,NULL
2337336,NULL
2337316,NULL
2337308,NULL
2337366,NULL
2337423,NULL
2337571,NULL
2337562,NULL
2337546,NULL
2337543,NULL
2337555,NULL
2337527,NULL
2337504,NULL
2337790,NULL
2337754,NULL
2337730,NULL
2337813,NULL
2337814,NULL
2337827,NULL
2337833,NULL
2337663,NULL
2337726,NULL
2337455,NULL
2337719,NULL
2337588,NULL
2338121,NULL
2338124,NULL
2338042,NULL
2338050,NULL
2337917,NULL
2337904,NULL
2338205,NULL
2338182,NULL
2338178,NULL
2338198,NULL
2337892,NULL
2337890,NULL
2337948,NULL
2338419,NULL
2338396,NULL
2338285,NULL
2338319,NULL
2338371,NULL
2338381,NULL
2338355,NULL
2338834,NULL
2338704,NULL
2329955,NULL
2196279,DZ5PrdStr14
2306533,AMS20PrdStr05
2292766,NULL
2322193,NULL
2195246,CBY07PrdApp01-01
2206569,PHX20AzFApp05
2205657,CO2PrdApp02-01
2207772,BZ7PrdApp06-01
2338729,NULL
2338443,NULL
2338429,NULL
2338690,NULL
2337425,NULL
2337367,NULL
2337405,NULL
2337351,NULL
2337286,NULL
2337771,NULL
2337811,NULL
2337591,NULL
2337598,NULL
2338162,NULL
2337990,NULL
2337959,NULL
2337954,NULL
2337862,NULL
2337886,NULL
2337881,NULL
2337901,NULL
2338141,NULL
2338047,NULL
2338073,NULL
2338102,NULL
2338107,NULL
2337997,NULL
2337998,NULL
2337982,NULL
2337986,NULL
2337972,NULL
2338398,NULL
2337913,NULL
2338012,NULL
2337597,NULL
2337783,NULL
2337784,NULL
2337374,NULL
2337424,NULL
2337552,NULL
2337480,NULL
2337444,NULL
2338654,NULL
2338469,NULL
2338833,NULL
2338550,NULL
2338541,NULL
2338536,NULL
2338531,NULL
2337834,NULL
2338509,NULL
2338814,NULL
2338859,NULL
2338642,NULL
2338582,NULL
2337484,NULL
2337560,NULL
2337330,NULL
2337332,NULL
2337389,NULL
2337304,NULL
2337795,NULL
2337798,NULL
2337830,NULL
2337832,NULL
2338237,NULL
2338243,NULL
2338215,NULL
2338166,NULL
2329985,NULL
2337651,NULL
2338154,NULL
2338088,NULL
2307280,NULL
2300234,LN1PrdStr06
2265843,TY1PrdStr07
2295912,NULL
2321398,NULL
2300689,NULL
2147219,YT1PrdApp15-01
2320618,NULL
2194412,BYAPrdApp27
2195468,BY1PrdApp02
2195047,CBZ06PrdApp01-01
2195148,BL3PrdApp04-02
2322313,NULL
2322673,NULL
2264083,BY2PrdApp03-02
2301264,NULL
2303040,NULL
2325577,NULL
2194728,AM3PrdApp03-02
2300666,NULL
2195641,BY3PrdApp02-02
2195144,BL2PrdApp06
2194761,AM3PRdApp04-02
2195147,DB3PrdApp15
2194544,BL6PrdApp18
2147668,BY1PrdApp10-02
2195150,CH1PrdApp06-02
2193917,AM3PrdApp05-02
2194021,BL7PrdApp13
2194452,BY2PrdApp04-02
2195149,BL3PrdApp06-02
2195640,HKNPrdApp05-02
2267731,AM3PrdApp11-02
2303034,NULL
2303035,NULL
2194125,AMS20PrdApp08
2194475,AM3PrdApp09-02
2303033,RED01PrdApp01-01
2338510,NULL
2337577,NULL
2338314,NULL
2338713,NULL
2338472,NULL
2337750,NULL
2337602,NULL
2341239,NULL
2341241,NULL
2341250,NULL
2341251,NULL
2341252,NULL
2341253,NULL
2341254,NULL
2341325,NULL
2338334,NULL
2337616,NULL
2296292,NULL
2296293,NULL
2291782,NULL
2256854,BYCPrdStp01
2295943,AMS06PrdStp04
2291755,DZ6PrdStp02
2194385,CQ2PrdApp11-01
2195357,BZ7PrdApp01-01
2202270,SYD23PrdApp01-01
2291801,SYD23PrdApp01-02
2296111,TYO22PrdApp01-01
2206488,MEL20PrdApp03-01
2194369,SIN20PrdApp01-01
2337782,NULL
2337807,NULL
2338312,NULL
2338356,NULL
2337967,NULL
2337934,NULL
2337871,NULL
2338242,NULL
2338615,NULL
2337510,NULL
2337976,NULL
2338330,NULL
2338684,NULL
2337642,NULL
2337778,NULL
2338322,NULL
2337987,NULL
2338113,NULL
2337408,NULL
2337563,NULL
2337544,NULL
2338668,NULL
2337884,NULL
2337641,NULL
2338147,NULL
2338013,NULL
2338259,NULL
2337704,NULL
2338001,NULL
2337839,NULL
2338675,NULL
2338677,NULL
2338718,NULL
2338773,NULL
2338446,NULL
2338114,NULL
2338746,NULL
2337939,NULL
2337994,NULL
2338327,NULL
2338030,NULL
2337395,NULL
2337471,NULL
2338129,NULL
2337682,NULL
2337946,NULL
2338493,NULL
2338290,NULL
2337633,NULL
2338099,NULL
2338805,NULL
2338686,NULL
2338115,NULL
2338310,NULL
2337548,NULL
2337384,NULL
2337352,NULL
2338070,NULL
2338017,NULL
2337863,NULL
2337894,NULL
2338000,NULL
2338025,NULL
2338192,NULL
2338226,NULL
2338214,NULL
2337712,NULL
2337586,NULL
